Income_Date,Income_Amount,Income_Description,Income_Category
19/05/2025,"2,500.00",Allowance ,School Allowance
25/05/2025,"2,700.00",Allowance ,School Allowance
28/05/2025,200.00,Laundry,Others
29/05/2025,500.00,Allowance ,Scholarship Allowance
01/06/2025,646.00,May Excess,Last Month Excess
01/06/2025,800.00,Water + Wifi,Utility Allowance
02/06/2025,"2,985.00",Allowance,School Allowance
09/06/2025,"5,000.00",Allowance ,School Allowance
09/06/2025,300.00,Laundry + Allowance ,Others
12/06/2025,"3,000.00",Scho,Scholarship Allowance
13/06/2025,"1,600.00",Tuition Payment,Scholarship Allowance
14/06/2025,550.00,Meralco Load,Utility Allowance
18/06/2025,500.00,Allowance,Scholarship Allowance
19/06/2025,"1,000.00",Allowance,School Allowance
19/06/2025,200.00,Laundry,Utility Allowance
20/06/2025,500.00,Allowance,Scholarship Allowance
22/06/2025,"2,500.00",Laguna + DevCon Duties,Others
26/06/2025,"1,000.00",Allowance,Others
30/06/2025,"3,000.00",Gym,Others
30/06/2025,300.00,Allowance,Others
30/06/2025,"2,000.00",Allowance ,Others
01/06/2025,"6,500.00",June Rent,Rent Allowance
04/07/2025,690.00,Excess,Last Month Excess
04/07/2025,"1,000.00",Allowance ,Scholarship Allowance
04/07/2025,500.00,Allowance,Others
01/07/2025,"6,500.00",July Rent,Rent Allowance
01/07/2025,880.00,Water and Wifi Payment,Utility Allowance
05/07/2025,400.00,Allowance,Others
05/07/2025,"1,000.00",Allowance,Others
07/07/2025,500.00,Food,Others
08/07/2025,300.00,Allowance ,Others
08/07/2025,250.00,Food ,Others
08/07/2025,500.00,Allowance,Others
10/07/2025,500.00,Transpo,Others
13/07/2025,330.00,Food,Others
14/07/2025,470.00,Allowance ,School Allowance
18/07/2025,265.00,Capcut,Others
18/07/2025,420.00,Allowance,School Allowance
20/07/2025,900.00,For Gym,Others
20/07/2025,"2,500.00",Allowance,School Allowance
28/07/2025,"1,000.00",Utilities,Utility Allowance
28/07/2025,"2,000.00",Gym,Others
28/07/2025,"2,500.00",School Allowance,School Allowance
31/07/2025,600.00,LazPay Later,Others
18/07/2025,"6,000.00",Tuition,Tuition Allowance
31/07/2025,400.00,Others,Others
31/07/2025,400.00,Wifi,Utility Allowance
01/08/2025,"1,350.00",Last Month Excess,Last Month Excess
01/08/2025,"6,500.00",Aug Rent,Rent Allowance
01/08/2025,"3,000.00",Allowance,School Allowance
09/08/2025,500.00,Allowance,School Allowance
10/08/2025,"3,000.00",School Allowance,School Allowance
10/08/2025,100.00,Allowance ,Transpo Allowance
16/08/2025,200.00,Allowance,Others
17/08/2025,"2,500.00",School Allowance ,School Allowance
17/08/2025,"1,000.00",Grocery,Food Allowance
25/08/2025,"3,100.00",School Allowance,School Allowance
25/08/2025,550.00,Meralco Load,Utility Allowance
29/08/2025,"3,390.00",GLoan,Others
01/09/2025,480.00,Last Month Excess,Last Month Excess
01/09/2025,"3,000.00",Allowance,School Allowance
01/09/2025,200.00,Laundry,Utility Allowance
02/09/2025,"13,000.00",Stipend,Scholarship Allowance
08/09/2025,"3,000.00",Allowance,School Allowance
10/09/2025,200.00,Laundry,Others
01/09/2025,"6,500.00",Sept Rent,Rent Allowance
15/09/2025,"3,000.00",Allowance ,School Allowance
18/09/2025,750.00,Laundry + Meralco Load,Utility Allowance
21/09/2025,"3,000.00",Allowance ,School Allowance
22/09/2025,"1,000.00",Grocery ,Others
24/09/2025,"8,000.00",Scholarship Allowance ,Scholarship Allowance
28/09/2025,"3,000.00",Allowance ,School Allowance
30/09/2025,"8,000.00",Scholarship Allowance ,Scholarship Allowance
01/10/2025,"3,986.00",Last Month Excess,Last Month Excess
05/10/2025,500.00,Allowance ,Others
06/10/2025,"6,000.00",Allowance ,School Allowance
01/10/2025,"6,500.00",Oct Rent,Rent Allowance
11/10/2025,200.00,Allowance,Others
13/10/2025,"1,000.00",Allowance,Others
16/10/2025,"1,000.00",Allowance ,Others
16/10/2025,"1,000.00",GLoan,Others
16/10/2025,"1,000.00",Lend ,Others
18/10/2025,"3,000.00",Allowance ,School Allowance
24/10/2025,500.00,Allowance ,School Allowance
25/10/2025,650.00,Extra,Others
27/10/2025,"2,000.00",Laguna,Others
31/10/2025,"8,000.00",Scholarship Allowance,Scholarship Allowance
31/10/2025,76.00,Last Month Excess,Last Month Excess
03/11/2025,200.00,Allowance ,Others
03/11/2025,200.00,Water,Utility Allowance
03/11/2025,"6,500.00",Nov Rent,Rent Allowance
05/11/2025,"5,000.00",Allowance,School Allowance
07/11/2025,900.00,Wifi + Meralco Load,Utility Allowance
07/11/2025,600.00,Grocery,Food Allowance
14/11/2025,650.00,Allowance ,Others
16/11/2025,"7,000.00",Tuition + Allowance ,School Allowance
18/11/2025,"2,000.00",Allowance,School Allowance
18/11/2025,"5,953.00",Loan,Others
22/11/2025,300.00,Allowance ,Others
24/11/2025,"3,000.00",Allowance ,Others
24/11/2025,"2,000.00",Allowance ,Others
29/11/2025,200.00,Allowance ,Others
